Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_Difference,Power,Wear_Ratio
2,298.1,308.6,1551,42.8,0,0,10.5,66382.79999999999,0.0
1,298.2,308.7,1408,46.3,3,0,10.5,65190.4,0.0021306818181818
1,298.1,308.5,1498,49.4,5,0,10.399999999999975,74001.2,0.0033377837116154
1,298.2,308.6,1433,39.5,7,0,10.400000000000034,56603.5,0.0048848569434752
1,298.2,308.7,1408,40.0,9,0,10.5,56320.0,0.0063920454545454
2,298.1,308.6,1425,41.9,11,0,10.5,59707.5,0.007719298245614
1,298.1,308.6,1558,42.4,14,0,10.5,66059.2,0.0089858793324775
1,298.1,308.6,1527,40.2,16,0,10.5,61385.4,0.0104780615586116
2,298.3,308.7,1667,28.6,18,0,10.399999999999975,47676.2,0.0107978404319136
2,298.5,309.0,1741,28.0,21,0,10.5,48748.0,0.0120620333141872
0,298.4,308.9,1782,23.9,24,0,10.5,42589.8,0.0134680134680134
0,298.6,309.1,1423,44.3,29,0,10.5,63038.9,0.0203794799718903
2,298.6,309.1,1339,51.1,34,0,10.5,68422.90000000001,0.0253920836445108
2,298.6,309.2,1742,30.0,37,0,10.599999999999966,52260.0,0.0212399540757749
1,298.6,309.2,2035,19.6,40,0,10.599999999999966,39886.0,0.0196560196560196
1,298.6,309.2,1542,48.4,42,0,10.599999999999966,74632.8,0.0272373540856031
2,298.6,309.2,1311,46.6,44,0,10.599999999999966,61092.6,0.0335621662852784
2,298.7,309.2,1410,45.6,47,0,10.5,64296.0,0.0333333333333333
0,298.8,309.2,1306,54.5,50,0,10.399999999999975,71177.0,0.0382848392036753
2,298.9,309.3,1632,32.5,55,0,10.400000000000034,53040.0,0.0337009803921568
0,298.9,309.3,1375,42.7,58,0,10.400000000000034,58712.50000000001,0.0421818181818181
1,298.8,309.3,1450,44.8,63,0,10.5,64959.99999999999,0.0434482758620689
2,298.9,309.3,1581,30.7,65,0,10.400000000000034,48536.7,0.0411132194813409
1,299.0,309.4,1758,25.7,68,0,10.399999999999975,45180.6,0.0386803185437997
2,299.0,309.4,1561,37.3,70,0,10.399999999999975,58225.3,0.0448430493273542
1,299.0,309.5,1861,23.3,73,0,10.5,43361.3,0.0392262224610424
1,299.1,309.5,1512,39.0,75,0,10.399999999999975,58968.0,0.0496031746031746
0,299.1,309.4,1811,24.6,77,0,10.299999999999956,44550.600000000006,0.0425179458862506
1,299.1,309.4,1439,44.2,82,0,10.299999999999956,63603.8,0.0569840166782487
1,299.0,309.4,1693,30.1,84,0,10.399999999999975,50959.3,0.0496160661547548
2,299.1,309.5,1339,48.2,86,0,10.399999999999975,64539.8,0.0642270351008215
1,299.0,309.4,1798,25.5,89,0,10.399999999999975,45849.0,0.0494994438264738
1,299.0,309.4,1419,48.3,91,0,10.399999999999975,68537.7,0.0641296687808315
1,298.9,309.3,1665,32.5,93,0,10.400000000000034,54112.5,0.0558558558558558
2,298.8,309.1,1559,34.7,95,0,10.300000000000011,54097.3,0.0609364977549711
2,298.8,309.2,1452,48.6,98,0,10.399999999999975,70567.2,0.0674931129476584
2,298.9,309.2,1581,36.7,101,0,10.300000000000011,58022.7,0.0638836179633143
1,298.8,309.1,1439,39.2,104,0,10.300000000000011,56408.8,0.0722724113968033
0,298.9,309.2,1379,50.7,106,0,10.300000000000011,69915.3,0.0768672951414068
1,298.8,309.1,1350,52.5,111,0,10.300000000000011,70875.0,0.0822222222222222
1,298.8,309.1,1362,45.4,113,0,10.300000000000011,61834.8,0.0829662261380323
1,298.8,309.1,1368,50.8,115,0,10.300000000000011,69494.4,0.0840643274853801
2,298.8,309.1,1368,49.1,117,0,10.300000000000011,67168.8,0.0855263157894736
0,298.8,309.2,1372,48.5,120,0,10.399999999999975,66542.0,0.0874635568513119
2,298.8,309.1,1472,47.5,125,0,10.300000000000011,69920.0,0.0849184782608695
1,298.8,309.1,1489,49.1,128,0,10.300000000000011,73109.90000000001,0.0859637340496977
2,298.7,309.0,1843,25.8,130,0,10.300000000000011,47549.4,0.0705371676614216
1,298.8,309.1,1418,46.3,133,0,10.300000000000011,65653.4,0.0937940761636107
0,298.8,309.2,1425,53.9,135,0,10.399999999999975,76807.5,0.0947368421052631
